 RespId,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10
470531,No,No,No,No,No,No,No,No,No,No
470532,No,No,No,No,No,No,No,No,No,No
470535,No,No,No,No,No,No,No,No,No,No
470536,No,No,No,No,No,No,No,No,No,No
470540,No,No,No,No,No,No,No,Yes,No,No
470541,No,No,No,No,No,No,No,Yes,No,No
470542,No,No,No,No,No,No,No,No,No,No
470543,No,No,No,No,No,No,Yes,No,No,No
470545,No,No,No,No,No,No,No,Yes,No,No
470547,No,No,No,No,No,No,No,No,No,No
470548,No,No,No,No,No,No,No,Yes,No,No
470549,No,No,No,No,No,No,No,Yes,No,No
470550,No,No,No,No,No,No,No,No,No,No
470552,No,No,No,No,No,No,No,No,No,No
470554,No,No,No,No,No,No,No,No,No,No
470556,No,Yes,Yes,No,No,No,No,Yes,No,No
470557,No,No,No,No,No,No,No,No,No,No
470558,No,No,No,No,No,No,No,Yes,No,No
470559,No,No,No,Yes,No,No,No,No,No,No
470560,No,No,No,No,No,No,No,No,No,No
470561,No,No,No,No,No,No,No,Yes,No,No
470562,No,No,No,No,No,No,No,No,No,No
470564,No,No,No,No,No,No,No,No,No,No
470565,No,No,Yes,No,No,No,No,No,No,Yes
470567,No,No,No,No,No,No,No,Yes,No,No
470568,No,No,No,No,No,No,No,No,No,No
470570,No,No,No,No,No,No,No,No,No,No
470571,No,No,No,No,No,No,No,No,No,No
470572,No,No,No,No,No,No,No,No,No,No
470573,No,No,No,No,No,No,No,No,No,No
470574,No,No,No,No,No,No,No,No,No,No
470575,No,No,No,No,No,No,No,No,Yes,No
470576,No,No,No,No,No,No,No,No,No,No
470577,No,No,No,No,No,No,No,No,No,No
480614,No,No,No,No,No,No,No,No,No,No
470580,No,No,No,No,No,No,No,No,No,No
470581,No,No,No,No,No,No,Yes,Yes,No,No
470582,No,No,No,No,No,No,No,No,No,No
470583,No,No,No,No,No,No,No,Yes,No,No
480620,No,No,No,No,No,No,No,No,No,No
470584,No,No,No,No,No,No,No,No,No,No
470585,No,No,No,No,No,No,No,No,No,No
470586,No,No,No,No,No,No,No,No,No,No
470587,No,No,No,No,No,No,No,No,No,No
470589,No,No,No,No,No,No,No,No,No,No
470591,No,No,Yes,No,No,No,No,No,No,No
470593,No,No,No,No,No,No,No,No,No,No
470595,No,No,No,No,No,No,No,Yes,No,No
470596,No,No,No,No,No,No,No,No,No,No
470597,No,No,No,No,No,No,No,No,No,No
470599,No,No,No,No,No,No,No,No,No,No
470600,No,No,No,No,No,No,No,No,No,No
470601,No,No,No,No,No,No,No,Yes,No,No
470602,No,No,No,Yes,No,No,No,No,Yes,No
470605,No,Yes,No,No,No,No,No,Yes,No,No
470607,No,No,No,No,No,No,No,No,No,No
470608,No,No,No,No,No,No,No,No,No,No
470609,No,No,No,No,No,No,No,Yes,No,No
470612,No,No,No,No,No,No,No,No,No,No
470613,No,No,No,No,No,No,No,No,No,No
470614,No,No,No,No,No,No,No,No,No,No
470615,No,No,No,No,No,No,No,No,No,No
470617,No,No,No,No,No,No,No,No,No,No
470618,No,No,No,No,No,No,No,No,No,No
470619,No,No,,No,No,No,No,No,No,No
470621,No,Yes,No,No,No,No,No,No,No,No
470623,No,,No,No,No,No,No,No,No,No
470625,No,No,No,No,No,No,No,Yes,No,No
470626,No,No,No,No,No,No,No,No,No,No
470628,No,No,No,No,No,No,,Yes,No,No
470629,No,No,No,No,No,No,No,Yes,No,No
470630,No,No,No,No,No,No,No,No,No,No
470631,No,No,No,Yes,No,No,No,Yes,No,No
470632,No,No,Yes,No,No,Yes,No,No,No,No
470633,No,No,No,No,,No,No,No,No,No
470634,No,No,No,No,No,No,No,No,No,No
470636,No,No,No,No,No,No,Yes,No,No,No
470637,No,No,No,Yes,No,No,No,Yes,No,No
470640,No,No,No,No,No,No,No,Yes,No,No
470641,No,No,No,No,No,Yes,No,Yes,No,No
470643,No,No,No,No,No,No,No,No,No,No
470645,No,No,No,No,No,No,No,No,No,No
470646,No,No,No,No,No,No,No,No,No,No
470647,No,No,No,No,No,No,No,Yes,No,No
470648,No,No,No,No,No,No,No,No,No,No
470649,No,No,No,No,No,No,No,No,No,No
470650,No,No,No,No,No,No,No,No,No,No
470651,No,No,No,No,No,No,No,No,No,No
470652,No,No,No,No,No,No,No,No,No,No
470653,No,No,No,No,No,No,No,No,Yes,No
470654,No,No,No,No,No,No,No,No,No,No
470655,No,No,No,No,No,No,Yes,Yes,No,No
480693,No,No,No,No,No,No,No,No,No,Yes
470657,No,No,No,No,No,No,No,No,No,No
470659,No,No,No,No,No,No,No,No,No,No
470660,No,No,No,No,No,No,No,No,No,No
480699,No,No,No,No,No,No,No,No,No,No
470662,No,No,No,No,No,No,No,No,No,No
470663,No,No,No,No,No,No,No,No,No,No
470664,No,No,No,No,No,No,No,No,No,No
470665,No,Yes,No,No,No,No,No,No,Yes,No
470666,No,No,No,No,No,No,No,No,No,No
470667,No,No,No,No,No,No,No,Yes,No,No
470668,No,No,No,No,No,No,No,No,No,No
480708,No,No,No,No,No,No,No,No,No,No
470670,No,No,No,No,No,No,No,No,No,No
470671,No,No,No,No,No,No,No,Yes,No,No
470673,No,No,No,No,No,No,No,No,No,No
470674,No,No,No,No,No,No,No,No,No,No
470675,No,No,No,No,No,No,No,No,No,No
470676,No,No,No,No,No,No,No,No,No,No
470678,No,No,No,No,No,No,No,No,No,No
470679,No,No,No,No,No,No,No,No,No,No
470681,No,No,No,No,No,No,No,No,No,No
470683,No,No,No,No,No,No,No,No,No,No
470684,No,No,No,No,No,No,No,No,No,No
470685,No,No,No,No,No,No,No,No,No,No
470687,No,No,No,No,No,No,No,No,No,No
470689,No,No,No,No,No,No,No,No,No,No
470691,No,No,No,No,No,No,No,Yes,No,No
470692,No,No,No,No,No,No,No,No,No,No
470694,No,No,Yes,No,No,No,No,Yes,Yes,No
470695,No,No,No,No,No,No,No,Yes,No,No
470696,No,No,No,No,No,No,No,No,No,No
470698,No,No,No,No,No,No,No,No,No,No
470699,No,No,No,No,No,No,No,No,No,No
470700,No,No,No,No,No,No,No,No,No,No
470701,No,No,No,No,No,No,No,Yes,No,No
470703,No,No,No,No,No,No,No,No,No,No
470705,No,No,No,No,No,No,No,No,No,No
470706,No,No,No,No,No,No,No,No,No,No
470707,No,No,No,No,No,No,No,No,No,No
470708,No,No,No,No,No,No,No,Yes,No,No
470711,No,Yes,No,No,No,No,No,No,No,No
470712,No,No,No,No,No,No,No,No,No,No
470713,No,No,No,No,No,No,No,Yes,No,No
480755,No,No,No,No,No,No,No,No,No,No
470715,No,No,No,No,No,No,No,No,No,No
470718,No,No,No,No,No,No,No,No,No,No
470719,No,No,No,No,No,No,No,No,No,No
470720,No,No,No,No,No,No,No,Yes,No,No
470721,No,No,No,No,No,No,No,No,No,No
470722,No,No,No,No,No,Yes,No,No,No,Yes
470723,No,No,No,No,No,No,No,No,No,No
470724,Yes,No,No,No,No,No,No,No,No,No
470725,No,No,No,No,No,No,No,No,No,No
470726,No,No,No,No,No,No,No,No,No,No
470727,No,No,No,No,No,No,No,No,No,No
480771,No,No,No,No,No,No,No,No,No,No
470729,No,No,No,No,No,Yes,No,No,No,No
470730,No,No,No,No,No,No,No,Yes,No,No
470732,No,No,No,No,No,No,No,No,No,No
470736,No,No,No,No,No,No,Yes,No,No,No
470738,No,No,No,No,No,No,No,No,No,No
470739,No,No,No,No,No,No,No,No,No,No
470741,No,No,No,No,No,No,No,Yes,No,No
470742,No,No,No,No,No,No,No,No,No,No
470743,No,No,No,No,No,No,No,No,No,No
470744,No,No,No,No,No,No,No,No,No,No
470745,Yes,No,Yes,No,No,No,No,Yes,Yes,No
470746,No,No,Yes,No,No,No,No,Yes,No,No
470748,No,No,No,No,No,No,No,Yes,Yes,No
470749,No,No,No,No,No,No,No,No,No,No
470750,No,No,No,No,No,No,No,No,No,No
470753,No,No,No,No,No,No,,No,No,No
470755,No,No,No,No,No,No,No,No,No,No
470756,No,No,No,No,No,No,No,No,No,No
470757,No,No,No,No,No,No,No,Yes,No,No
470758,No,No,No,No,No,No,No,No,No,No
480804,No,No,No,No,No,No,No,No,No,No
470759,No,No,No,No,No,No,No,No,No,No
470760,No,Yes,Yes,Yes,No,No,No,No,Yes,No
470761,No,No,No,No,No,No,No,No,No,No
470763,No,No,No,No,No,No,No,No,No,No
470764,No,No,No,No,No,No,Yes,Yes,No,No
470765,No,No,No,No,No,No,No,No,No,No
470768,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
470771,No,No,No,No,No,No,No,Yes,No,No
470773,No,No,No,No,No,No,No,No,No,No
470775,No,No,No,No,No,No,No,No,No,No
470776,No,No,No,No,No,No,No,Yes,No,No
470777,No,No,No,Yes,No,Yes,No,No,No,No
470778,No,No,No,No,No,No,No,No,No,No
470780,No,No,No,No,No,Yes,No,No,No,No
470781,No,No,No,Yes,No,No,No,Yes,No,No
